invoice_id,submission_date,approval_date,processing_stage,stage_duration_days,approval_days,department,error_flag,approval_status,invoice_amount
INV001,2023-01-05,2023-01-12,Document Entry,3,7,Finance,0,Approved,15000
INV002,2023-01-06,2023-01-15,Verification,6,9,Procurement,1,Approved,25000
INV003,2023-01-07,2023-01-10,Document Entry,2,3,Finance,0,Approved,8500
INV004,2023-01-08,2023-01-20,Verification,8,12,Procurement,1,Rejected,45000
INV005,2023-01-09,2023-01-14,Classification,4,5,Finance,0,Approved,12000
INV006,2023-01-10,2023-01-18,Document Entry,4,8,Operations,0,Approved,18000
INV007,2023-01-11,2023-01-28,Verification,10,17,Procurement,1,Approved,55000
INV008,2023-01-12,2023-01-16,Classification,3,4,Finance,0,Approved,9500
INV009,2023-01-13,2023-01-22,Document Entry,5,9,Operations,1,Approved,22000
INV010,2023-01-14,2023-01-19,Classification,2,5,Finance,0,Approved,11000
INV011,2023-01-15,2023-01-24,Verification,7,9,Procurement,0,Approved,38000
INV012,2023-01-16,2023-01-20,Document Entry,3,4,Finance,0,Approved,14000
INV013,2023-01-17,2023-02-02,Verification,11,16,Procurement,1,Approved,62000
INV014,2023-01-18,2023-01-23,Classification,4,5,Finance,0,Approved,13000
INV015,2023-01-19,2023-01-27,Document Entry,5,8,Operations,0,Approved,19500
INV016,2023-01-20,2023-02-05,Verification,12,16,Procurement,1,Pending,58000
INV017,2023-01-21,2023-01-26,Classification,3,5,Finance,0,Approved,10000
INV018,2023-01-22,2023-02-01,Document Entry,7,10,Operations,1,Approved,28000
INV019,2023-01-23,2023-01-28,Classification,2,5,Finance,0,Approved,9000
INV020,2023-01-24,2023-02-08,Verification,11,15,Procurement,1,Approved,65000
INV021,2023-01-25,2023-01-30,Document Entry,4,5,Finance,0,Approved,16000
INV022,2023-01-26,2023-02-10,Verification,10,15,Procurement,0,Approved,48000
INV023,2023-01-27,2023-02-02,Classification,4,6,Finance,1,Approved,17000
INV024,2023-01-28,2023-02-05,Document Entry,6,8,Operations,0,Approved,21000
INV025,2023-01-29,2023-02-08,Verification,7,10,Procurement,1,Approved,42000
INV026,2023-01-30,2023-02-04,Classification,3,5,Finance,0,Approved,11500
INV027,2023-02-01,2023-02-18,Verification,13,17,Procurement,1,Pending,70000
INV028,2023-02-02,2023-02-07,Document Entry,3,5,Finance,0,Approved,13500
INV029,2023-02-03,2023-02-14,Document Entry,7,11,Operations,1,Approved,32000
INV030,2023-02-04,2023-02-09,Classification,2,5,Finance,0,Approved,8500
INV031,2023-02-05,2023-02-25,Verification,14,20,Procurement,1,Approved,72000
INV032,2023-02-06,2023-02-11,Document Entry,4,5,Finance,0,Approved,15500
INV033,2023-02-07,2023-02-20,Verification,9,13,Procurement,0,Approved,44000
INV034,2023-02-08,2023-02-13,Classification,3,5,Finance,1,Approved,10500
INV035,2023-02-09,2023-02-22,Document Entry,8,13,Operations,1,Approved,35000
INV036,2023-02-10,2023-02-15,Classification,2,5,Finance,0,Approved,9500
INV037,2023-02-11,2023-03-05,Verification,15,22,Procurement,1,Approved,75000
INV038,2023-02-12,2023-02-17,Document Entry,3,5,Finance,0,Approved,14000
INV039,2023-02-13,2023-02-26,Document Entry,9,13,Operations,1,Approved,38000
INV040,2023-02-14,2023-02-19,Classification,3,5,Finance,0,Approved,11000
INV041,2023-02-15,2023-03-08,Verification,16,21,Procurement,1,Pending,80000
INV042,2023-02-16,2023-02-21,Document Entry,4,5,Finance,0,Approved,16500
INV043,2023-02-17,2023-03-02,Verification,10,13,Procurement,0,Approved,46000
INV044,2023-02-18,2023-02-23,Classification,2,5,Finance,1,Approved,9000
INV045,2023-02-19,2023-03-04,Document Entry,10,13,Operations,1,Approved,40000
INV046,2023-02-20,2023-02-25,Classification,3,5,Finance,0,Approved,12500
INV047,2023-02-21,2023-03-10,Verification,12,17,Procurement,1,Approved,68000
INV048,2023-02-22,2023-02-27,Document Entry,4,5,Finance,0,Approved,15000
INV049,2023-02-23,2023-03-09,Document Entry,11,14,Operations,1,Approved,42000
INV050,2023-02-24,2023-03-01,Classification,3,5,Finance,0,Approved,10000
INV051,2023-02-25,2023-03-18,Verification,14,21,Procurement,1,Approved,76000
INV052,2023-02-26,2023-03-03,Document Entry,3,5,Finance,0,Approved,14500
INV053,2023-02-27,2023-03-14,Verification,11,15,Procurement,0,Approved,50000
INV054,2023-02-28,2023-03-05,Classification,3,5,Finance,1,Approved,11500
INV055,2023-03-01,2023-03-18,Document Entry,10,17,Operations,1,Approved,44000
INV056,2023-03-02,2023-03-07,Classification,2,5,Finance,0,Approved,9000
INV057,2023-03-03,2023-03-25,Verification,13,22,Procurement,1,Approved,72000
INV058,2023-03-04,2023-03-09,Document Entry,4,5,Finance,0,Approved,16000
INV059,2023-03-05,2023-03-20,Document Entry,8,15,Operations,1,Approved,36000
INV060,2023-03-06,2023-03-11,Classification,3,5,Finance,0,Approved,11000
INV061,2023-03-07,2023-03-28,Verification,15,21,Procurement,1,Pending,78000
INV062,2023-03-08,2023-03-13,Document Entry,3,5,Finance,0,Approved,14000
INV063,2023-03-09,2023-03-24,Verification,10,15,Procurement,0,Approved,48000
INV064,2023-03-10,2023-03-15,Classification,2,5,Finance,1,Approved,10500
INV065,2023-03-11,2023-03-28,Document Entry,9,17,Operations,1,Approved,41000
INV066,2023-03-12,2023-03-17,Classification,3,5,Finance,0,Approved,12500
INV067,2023-03-13,2023-04-03,Verification,14,21,Procurement,1,Approved,74000
INV068,2023-03-14,2023-03-19,Document Entry,4,5,Finance,0,Approved,15500
INV069,2023-03-15,2023-03-30,Document Entry,10,15,Operations,1,Approved,43000
INV070,2023-03-16,2023-03-21,Classification,3,5,Finance,0,Approved,11500
INV071,2023-03-17,2023-04-08,Verification,16,22,Procurement,1,Approved,80000
INV072,2023-03-18,2023-03-23,Document Entry,3,5,Finance,0,Approved,14500
INV073,2023-03-19,2023-04-03,Verification,11,15,Procurement,0,Approved,52000
INV074,2023-03-20,2023-03-25,Classification,2,5,Finance,1,Approved,9500
INV075,2023-03-21,2023-04-07,Document Entry,11,17,Operations,1,Approved,45000
INV076,2023-03-22,2023-03-27,Classification,3,5,Finance,0,Approved,13000
INV077,2023-03-23,2023-04-13,Verification,13,21,Procurement,1,Approved,70000
INV078,2023-03-24,2023-03-29,Document Entry,4,5,Finance,0,Approved,16000
INV079,2023-03-25,2023-04-09,Document Entry,9,15,Operations,1,Approved,38000
INV080,2023-03-26,2023-03-31,Classification,3,5,Finance,0,Approved,10500
INV081,2023-03-27,2023-04-17,Verification,14,21,Procurement,1,Pending,76000
INV082,2023-03-28,2023-04-02,Document Entry,3,5,Finance,0,Approved,15000
INV083,2023-03-29,2023-04-13,Verification,9,15,Procurement,0,Approved,49000
INV084,2023-03-30,2023-04-04,Classification,2,5,Finance,1,Approved,11000
INV085,2023-03-31,2023-04-17,Document Entry,10,17,Operations,1,Approved,42000
INV086,2023-04-01,2023-04-06,Classification,3,5,Finance,0,Approved,12500
INV087,2023-04-02,2023-04-23,Verification,15,21,Procurement,1,Approved,77000
INV088,2023-04-03,2023-04-08,Document Entry,4,5,Finance,0,Approved,15500
INV089,2023-04-04,2023-04-19,Document Entry,8,15,Operations,1,Approved,39000
INV090,2023-04-05,2023-04-10,Classification,3,5,Finance,0,Approved,10500
INV091,2023-04-06,2023-04-27,Verification,16,21,Procurement,1,Approved,79000
INV092,2023-04-07,2023-04-12,Document Entry,3,5,Finance,0,Approved,14000
INV093,2023-04-08,2023-04-23,Verification,10,15,Procurement,0,Approved,51000
INV094,2023-04-09,2023-04-14,Classification,2,5,Finance,1,Approved,9500
INV095,2023-04-10,2023-04-27,Document Entry,9,17,Operations,1,Approved,43000
INV096,2023-04-11,2023-04-16,Classification,3,5,Finance,0,Approved,13000
INV097,2023-04-12,2023-05-03,Verification,14,21,Procurement,1,Approved,75000
INV098,2023-04-13,2023-04-18,Document Entry,4,5,Finance,0,Approved,15500
INV099,2023-04-14,2023-04-29,Document Entry,10,15,Operations,1,Approved,44000
INV100,2023-04-15,2023-04-20,Classification,3,5,Finance,0,Approved,11500
INV101,2023-04-16,2023-05-07,Verification,15,21,Procurement,1,Pending,78000
